Company,Quarter,Category,Event,Detail
Marriott,Q1 2025,Brand,Launched City Express by Marriott in select international markets,Expansion of midscale brand outside of Mexico into broader LatAm markets
Marriott,Q1 2025,Guidance,Raised full-year 2025 RevPAR guidance to 2-4% growth,Strong demand trends in international markets drove upward revision
Marriott,Q2 2025,Technology,Expanded AI-powered dynamic pricing across all brands,Leveraging machine learning for real-time rate optimization across 9600+ properties
Marriott,Q2 2025,Expansion,Record pipeline of 590K+ rooms across 3858 properties,Pipeline growth of 7%+ YoY driven by strong developer interest
Marriott,Q3 2025,M&A,Completed acquisition of Postcard Hotels portfolio,Added luxury boutique properties in key European leisure destinations
Marriott,Q3 2025,Loyalty,Bonvoy membership surpassed 260 million members,Added 57M members YoY reflecting strong co-brand credit card acquisitions
Marriott,Q4 2025,Expansion,Pipeline reached record 610K rooms across 4056 properties,Approximately 250K+ rooms under active construction
Marriott,Q4 2025,Loyalty,Bonvoy reached 271 million members with 43M added in 2025,Highest annual member acquisition driven by enhanced digital enrollment
Hilton,Q1 2025,Brand,Announced new lifestyle brand Tempo by Hilton expansion,Accelerated Tempo rollout with 15 new signings in Q1
Hilton,Q1 2025,Expansion,Strong conversion activity with 40%+ of openings from conversions,Conversion strategy reducing development timelines and capex requirements
Hilton,Q2 2025,Technology,Launched enhanced Hilton Honors app with AI concierge features,Digital key adoption exceeded 70% across managed portfolio
Hilton,Q2 2025,M&A,Acquired Graduate Hotels brand from AJ Capital Partners,Added ~35 properties in university markets; complements lifestyle portfolio
Hilton,Q3 2025,Guidance,Narrowed full-year RevPAR guidance to flat to +1%,US softness in Q3 offset by continued international strength
Hilton,Q3 2025,Brand,Unveiled new small luxury hotel brand LivSmart Studios,Targeting extended-stay luxury segment with initial pipeline of 20 properties
Hilton,Q4 2025,Expansion,Record pipeline of 520500 rooms; 97K rooms opened in 2025,6.7% net unit growth; strongest opening year in company history
Hilton,Q4 2025,Guidance,2026 outlook: Adj EBITDA $4.0-4.04B; RevPAR +1-2%,Expects 6-7% NUG in 2026 and beyond; $3.5B shareholder returns planned
Hyatt,Q1 2025,Expansion,RevPAR growth of 5.7% led the industry in Q1,Strong luxury and resort demand drove outperformance vs peers
Hyatt,Q1 2025,M&A,Completed integration of Mr & Mrs Smith platform,Lifestyle booking platform expanding Hyatt's reach to independent luxury properties
Hyatt,Q2 2025,Expansion,Net rooms growth of 11.8% including acquisitions,Organic growth of 6.5% supplemented by strategic acquisitions
Hyatt,Q2 2025,Brand,Expanded Inclusive Collection with new resort signings,Added properties in Mexico and Caribbean; total inclusive portfolio growing rapidly
Hyatt,Q3 2025,Technology,Enhanced World of Hyatt app with personalized experiences,AI-driven guest recognition and preference tracking across brands
Hyatt,Q3 2025,Expansion,Record pipeline of 144K rooms with 12.1% trailing net growth,Strongest pipeline growth among luxury-focused competitors
Hyatt,Q4 2025,Expansion,Pipeline reached record 148K rooms; 7.3% FY NUG,Ninth consecutive year of industry-leading net rooms growth
Hyatt,Q4 2025,Loyalty,World of Hyatt grew 19% to 63M+ members in 2025,Membership growth accelerating through enhanced partnerships and benefits
IHG,Q1 2025,Expansion,Global RevPAR grew 3.3% in Q1 leading the peer group,Strong performance in EMEAA region with 4%+ RevPAR growth
IHG,Q1 2025,Brand,Launched Garner brand expansion into European markets,Conversion-friendly upper midscale brand gaining developer traction
IHG,Q2 2025,Expansion,Reached milestone of 1 million open rooms globally,First hotel company to reach 1M rooms; opened 31.4K rooms in H1
IHG,Q2 2025,M&A,Announced strategic review of owned properties for potential disposal,Asset-light strategy acceleration through managed/franchised model
IHG,Q3 2025,Guidance,US RevPAR declined 1.6% in Q3 amid domestic softness,International markets helped offset; global RevPAR +0.1%
IHG,Q3 2025,Brand,Introduced new collection brand for independent luxury hotels,Targeting independent luxury hotels for soft-brand conversion
IHG,Q4 2025,Expansion,Pipeline reached ~345K rooms; continued strong signings,Signed 106K+ rooms in 2024 pipeline momentum carrying forward
IHG,Q4 2025,Guidance,2026 outlook: RevPAR growth 1-3% with focus on fee margin expansion,Targeting continued improvement in fee margin above 61%
Accor,Q1 2025,M&A,Announced potential IPO of Ennismore lifestyle division,Strategic review of Ennismore could unlock significant shareholder value
Accor,Q1 2025,Expansion,Strong luxury segment performance driving RevPAR growth,Raffles and Fairmont brands outperforming broader portfolio
Accor,Q2 2025,Expansion,H1 revenue reached EUR 2.75B with 5.1% growth at constant currency,EBITDA of EUR 552M up 13.4% at constant currency
Accor,Q2 2025,Brand,Continued rollout of Handwritten Collection brand,Soft-brand collection targeting boutique/independent conversions
Accor,Q3 2025,Guidance,Raised FY EBITDA guidance to 11-12% growth from 9-10%,Strong luxury performance and cost discipline driving upward revision
Accor,Q3 2025,Technology,Expanded ALL digital platform with enhanced personalization,Mobile booking share exceeding 50% for first time
Accor,Q4 2025,Expansion,Pipeline exceeded 250K rooms with 5% NUG target on track,Strong Middle East and Asia Pacific pipeline growth
Accor,Q4 2025,Leadership,Confirmed Ennismore IPO timeline for 2026,Lifestyle division separation expected to complete by mid-2026
